,Site,PSMSL ID,Latitude,Longitude,Scenario,Background RSL rate (mm/yr),Time,Value
0,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2000,0.0
1,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2010,11.0
2,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2020,23.0
3,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2030,34.0
4,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2040,47.0
5,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2050,60.0
6,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2060,76.0
7,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2070,93.0
8,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2080,111.0
9,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2090,130.0
10,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2100,150.0
11,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2120,176.0
12,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2150,238.0
13,NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,2200,359.0
